tn,fp,fn,tp,y_pred_0,y_pred_1,y_true_0,y_true_1,auc,sensitivity,specificity,accuracy,mcc,precision,recall,f1,aupr
5979,170,478,48,6457,218,6149,526,0.639864159185054,0.09125475285171103,0.9723532281671816,0.9029213483146067,0.09641910357314974,0.22018348623853212,0.09125475285171103,0.12903225806451613,0.14840531294878548
6040,135,260,266,6300,401,6175,526,0.9461282923600314,0.5057034220532319,0.9781376518218623,0.9410535740934189,0.5486199868511491,0.6633416458852868,0.5057034220532319,0.5738942826321467,0.6559892906365409
1718,4431,260,266,1978,4697,6149,526,0.33169772574229206,0.5057034220532319,0.2793950235810701,0.29722846441947565,-0.12679766371022289,0.05663189269746647,0.5057034220532319,0.10185717020869232,0.15209405815625027
6040,135,260,266,6300,401,6175,526,0.9461282923600314,0.5057034220532319,0.9781376518218623,0.9410535740934189,0.5486199868511491,0.6633416458852868,0.5057034220532319,0.5738942826321467,0.6559892906365409
6040,135,260,266,6300,401,6175,526,0.9461282923600314,0.5057034220532319,0.9781376518218623,0.9410535740934189,0.5486199868511491,0.6633416458852868,0.5057034220532319,0.5738942826321467,0.6559892906365409
