tn,fp,fn,tp,y_pred_0,y_pred_1,y_true_0,y_true_1,auc,sensitivity,specificity,accuracy,mcc,precision,recall,f1,aupr
70,2,3,70,73,72,72,73,0.9891552511415524,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9311263318112634,0.9722222222222222,0.958904109589041,0.9655172413793104,0.9914907034924089
920,40,80,112,1000,152,960,192,0.9576714409722222,0.5833333333333334,0.9583333333333334,0.8958333333333334,0.5964809080634607,0.7368421052631579,0.5833333333333334,0.6511627906976745,0.798477961765045
920,40,80,112,1000,152,960,192,0.9576714409722222,0.5833333333333334,0.9583333333333334,0.8958333333333334,0.5964809080634607,0.7368421052631579,0.5833333333333334,0.6511627906976745,0.798477961765045
