tn,fp,fn,tp,y_pred_0,y_pred_1,y_true_0,y_true_1,auc,sensitivity,specificity,accuracy,mcc,precision,recall,f1,aupr
73,0,4,69,77,69,73,73,0.9986864327265903,0.9452054794520548,1.0,0.9726027397260274,0.9466276438515284,1.0,0.9452054794520548,0.971830985915493,0.9987639728559071
73,0,4,69,77,69,73,73,0.9986864327265903,0.9452054794520548,1.0,0.9726027397260274,0.9466276438515284,1.0,0.9452054794520548,0.971830985915493,0.9987639728559071
73,0,4,69,77,69,73,73,0.9986864327265903,0.9452054794520548,1.0,0.9726027397260274,0.9466276438515284,1.0,0.9452054794520548,0.971830985915493,0.9987639728559071
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,361,41,335,56,696,376,376,0.4426210955183341,0.8909574468085106,0.0398936170212766,0.4654255319148936,-0.13169664600188,0.4813218390804598,0.8909574468085106,0.625,0.6397842397674487
15,361,41,335,56,696,376,376,0.4426210955183341,0.8909574468085106,0.0398936170212766,0.4654255319148936,-0.13169664600188,0.4813218390804598,0.8909574468085106,0.625,0.6397842397674487
324,52,10,366,334,418,376,376,0.960887986645541,0.973404255319149,0.8617021276595744,0.9175531914893617,0.8403656141985573,0.8755980861244019,0.973404255319149,0.9219143576826198,0.9602829520373696
