tn,fp,fn,tp,y_pred_0,y_pred_1,y_true_0,y_true_1,auc,sensitivity,specificity,accuracy,mcc,precision,recall,f1,aupr
73,0,3,70,76,70,73,73,0.9990617376618502,0.958904109589041,1.0,0.9794520547945206,0.9597148699373931,1.0,0.958904109589041,0.9790209790209791,0.9990947455484842
73,0,3,70,76,70,73,73,0.9990617376618502,0.958904109589041,1.0,0.9794520547945206,0.9597148699373931,1.0,0.958904109589041,0.9790209790209791,0.9990947455484842
73,0,3,70,76,70,73,73,0.9990617376618502,0.958904109589041,1.0,0.9794520547945206,0.9597148699373931,1.0,0.958904109589041,0.9790209790209791,0.9990947455484842
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
16,360,32,344,48,704,376,376,0.4001244907197827,0.9148936170212766,0.0425531914893617,0.4787234042553192,-0.08703882797784893,0.48863636363636365,0.9148936170212766,0.6370370370370371,0.5865126465574528
16,360,32,344,48,704,376,376,0.4001244907197827,0.9148936170212766,0.0425531914893617,0.4787234042553192,-0.08703882797784893,0.48863636363636365,0.9148936170212766,0.6370370370370371,0.5865126465574528
329,47,27,349,356,396,376,376,0.9504159121774559,0.9281914893617021,0.875,0.901595744680851,0.8043301548932463,0.8813131313131313,0.9281914893617021,0.9041450777202074,0.9393001526732556
