tn,fp,fn,tp,y_pred_0,y_pred_1,y_true_0,y_true_1,auc,sensitivity,specificity,accuracy,mcc,precision,recall,f1,aupr
73,0,3,70,76,70,73,73,0.9979358228560705,0.958904109589041,1.0,0.9794520547945206,0.9597148699373931,1.0,0.958904109589041,0.9790209790209791,0.9980575549134866
73,0,3,70,76,70,73,73,0.9979358228560705,0.958904109589041,1.0,0.9794520547945206,0.9597148699373931,1.0,0.958904109589041,0.9790209790209791,0.9980575549134866
73,0,3,70,76,70,73,73,0.9979358228560705,0.958904109589041,1.0,0.9794520547945206,0.9597148699373931,1.0,0.958904109589041,0.9790209790209791,0.9980575549134866
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,364,42,334,54,698,376,376,0.4250615380262561,0.8882978723404256,0.031914893617021274,0.4601063829787234,-0.15452425680385326,0.4785100286532951,0.8882978723404256,0.6219739292364991,0.6339707152537081
12,364,42,334,54,698,376,376,0.4250615380262561,0.8882978723404256,0.031914893617021274,0.4601063829787234,-0.15452425680385326,0.4785100286532951,0.8882978723404256,0.6219739292364991,0.6339707152537081
325,51,11,365,336,416,376,376,0.9707269975101855,0.9707446808510638,0.8643617021276596,0.9175531914893617,0.8398724665526666,0.8774038461538461,0.9707446808510638,0.9217171717171716,0.9686569060741681
