tn,fp,fn,tp,y_pred_0,y_pred_1,y_true_0,y_true_1,auc,sensitivity,specificity,accuracy,mcc,precision,recall,f1,aupr
73,0,3,70,76,70,73,73,0.9979358228560705,0.958904109589041,1.0,0.9794520547945206,0.9597148699373931,1.0,0.958904109589041,0.9790209790209791,0.9980233697081919
73,0,3,70,76,70,73,73,0.9979358228560705,0.958904109589041,1.0,0.9794520547945206,0.9597148699373931,1.0,0.958904109589041,0.9790209790209791,0.9980233697081919
73,0,3,70,76,70,73,73,0.9979358228560705,0.958904109589041,1.0,0.9794520547945206,0.9597148699373931,1.0,0.958904109589041,0.9790209790209791,0.9980233697081919
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,365,31,345,42,710,376,376,0.44726827750113163,0.9175531914893617,0.02925531914893617,0.4734042553191489,-0.11581803068053625,0.4859154929577465,0.9175531914893617,0.6353591160220995,0.6721590756325921
11,365,31,345,42,710,376,376,0.44726827750113163,0.9175531914893617,0.02925531914893617,0.4734042553191489,-0.11581803068053625,0.4859154929577465,0.9175531914893617,0.6353591160220995,0.6721590756325921
319,57,46,330,365,387,376,376,0.9426493888637392,0.8776595744680851,0.848404255319149,0.863031914893617,0.7263747388433129,0.8527131782945736,0.8776595744680851,0.8650065530799476,0.9401752647298166
