tn,fp,fn,tp,y_pred_0,y_pred_1,y_true_0,y_true_1,auc,sensitivity,specificity,accuracy,mcc,precision,recall,f1,aupr
73,0,2,71,75,71,73,73,0.9975605179208107,0.9726027397260274,1.0,0.9863013698630136,0.9729679679550949,1.0,0.9726027397260274,0.9861111111111112,0.997822556241539
73,0,2,71,75,71,73,73,0.9975605179208107,0.9726027397260274,1.0,0.9863013698630136,0.9729679679550949,1.0,0.9726027397260274,0.9861111111111112,0.997822556241539
73,0,2,71,75,71,73,73,0.9975605179208107,0.9726027397260274,1.0,0.9863013698630136,0.9729679679550949,1.0,0.9726027397260274,0.9861111111111112,0.997822556241539
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,0,7,8,7,8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,366,31,345,41,711,376,376,0.42085997623358984,0.9175531914893617,0.026595744680851064,0.4720744680851064,-0.12299644696008073,0.48523206751054854,0.9175531914893617,0.6347746090156394,0.554869963805886
10,366,31,345,41,711,376,376,0.42085997623358984,0.9175531914893617,0.026595744680851064,0.4720744680851064,-0.12299644696008073,0.48523206751054854,0.9175531914893617,0.6347746090156394,0.554869963805886
318,58,15,361,333,419,376,376,0.9609657933454052,0.9601063829787234,0.8457446808510638,0.9029255319148937,0.8111730253742144,0.8615751789976134,0.9601063829787234,0.9081761006289308,0.9558816660311309
